,gwid,statename,from,to,group,groupid,gwgroupid,umbrella,size,status,reg_aut,N_CAT_GROUPS,N_GROUPS,power_level
36,20,Canada,1961,1984,UNCATEGORIZED,0,2000000,,0.10999999999999999,POWERLESS,,3,4,1
37,20,Canada,1985,2021,English speakers,1000,2001000,,0.59,SENIOR PARTNER,True,3,4,3
38,20,Canada,1985,2021,French speakers,2000,2002000,,0.23,JUNIOR PARTNER,True,3,4,2
39,20,Canada,1985,2021,Indigenous peoples,4000,2004000,,0.049,POWERLESS,True,3,4,1
40,20,Canada,1985,2021,UNCATEGORIZED,0,2000000,,0.131,POWERLESS,,3,4,1
41,31,Bahamas,1973,1992,Afro-Bahamians (Black),1000,3101000,,0.85,DOMINANT,,2,3,4
42,31,Bahamas,1973,1992,Whites,2000,3102000,,0.047,POWERLESS,False,2,3,1
43,31,Bahamas,1973,1992,UNCATEGORIZED,0,3100000,,0.10299999999999998,POWERLESS,,2,3,1
44,31,Bahamas,1993,2021,Afro-Bahamians (Black),1000,3101000,,0.85,IRRELEVANT,,2,3,1
45,31,Bahamas,1993,2021,Whites,2000,3102000,,0.047,IRRELEVANT,,2,3,1
46,31,Bahamas,1993,2021,UNCATEGORIZED,0,3100000,,0.10299999999999998,POWERLESS,,2,3,1
47,40,Cuba,1946,1959,Whites,1000,4001000,,0.73,DOMINANT,,2,2,4
48,40,Cuba,1946,1959,Afro-Cubans,2000,4002000,,0.27,POWERLESS,False,2,2,1
49,40,Cuba,1960,2021,Whites,1000,4001000,,0.641,IRRELEVANT,,2,2,1
50,40,Cuba,1960,2021,Afro-Cubans,2000,4002000,,0.359,IRRELEVANT,,2,2,1
51,41,Haiti,1946,2021,Haitians,1000,4101000,,0.955,IRRELEVANT,,1,2,1
52,41,Haiti,1946,2021,UNCATEGORIZED,0,4100000,,0.04500000000000004,POWERLESS,,1,2,1
53,42,Dominican Republic,1946,2013,Dominicans,1000,4201000,,0.93,IRRELEVANT,,1,2,1
54,42,Dominican Republic,1946,2013,UNCATEGORIZED,0,4200000,,0.06999999999999995,POWERLESS,,1,2,1
55,42,Dominican Republic,2014,2021,Dominicans,1000,4201000,,0.93,MONOPOLY,,2,3,5
56,42,Dominican Republic,2014,2021,Dominican Haitians,2000,4202000,,0.023,DISCRIMINATED,False,2,3,0
57,42,Dominican Republic,2014,2021,UNCATEGORIZED,0,4200000,,0.04699999999999993,POWERLESS,,2,3,1
58,51,Jamaica,1962,2021,Jamaicans,1000,5101000,,1.0,IRRELEVANT,,1,1,1
59,52,Trinidad and Tobago,1962,1986,East Indians,1000,5201000,,0.4,POWERLESS,False,2,3,1
60,52,Trinidad and Tobago,1962,1986,Blacks,2000,5202000,,0.375,DOMINANT,,2,3,4
61,52,Trinidad and Tobago,1962,1986,UNCATEGORIZED,0,5200000,,0.22499999999999998,POWERLESS,,2,3,1
62,52,Trinidad and Tobago,1987,1991,East Indians,1000,5201000,,0.4,JUNIOR PARTNER,False,2,3,2
63,52,Trinidad and Tobago,1987,1991,Blacks,2000,5202000,,0.375,SENIOR PARTNER,False,2,3,3
64,52,Trinidad and Tobago,1987,1991,UNCATEGORIZED,0,5200000,,0.22499999999999998,POWERLESS,,2,3,1
65,52,Trinidad and Tobago,1992,1995,East Indians,1000,5201000,,0.4,POWERLESS,False,2,3,1
66,52,Trinidad and Tobago,1992,1995,Blacks,2000,5202000,,0.375,DOMINANT,,2,3,4
67,52,Trinidad and Tobago,1992,1995,UNCATEGORIZED,0,5200000,,0.22499999999999998,POWERLESS,,2,3,1
68,52,Trinidad and Tobago,1996,2002,East Indians,1000,5201000,,0.4,SENIOR PARTNER,False,2,3,3
69,52,Trinidad and Tobago,1996,2002,Blacks,2000,5202000,,0.375,JUNIOR PARTNER,False,2,3,2
70,52,Trinidad and Tobago,1996,2002,UNCATEGORIZED,0,5200000,,0.22499999999999998,POWERLESS,,2,3,1
71,52,Trinidad and Tobago,2003,2010,East Indians,1000,5201000,,0.4,JUNIOR PARTNER,False,2,3,2
72,52,Trinidad and Tobago,2003,2010,Blacks,2000,5202000,,0.375,SENIOR PARTNER,False,2,3,3
73,52,Trinidad and Tobago,2003,2010,UNCATEGORIZED,0,5200000,,0.22499999999999998,POWERLESS,,2,3,1
74,52,Trinidad and Tobago,2011,2015,East Indians,1000,5201000,,0.354,SENIOR PARTNER,False,2,3,3
75,52,Trinidad and Tobago,2011,2015,Blacks,2000,5202000,,0.342,JUNIOR PARTNER,False,2,3,2
76,52,Trinidad and Tobago,2011,2015,UNCATEGORIZED,0,5200000,,0.30400000000000005,POWERLESS,,2,3,1
77,52,Trinidad and Tobago,2016,2021,East Indians,1000,5201000,,0.354,JUNIOR PARTNER,False,2,3,2
78,52,Trinidad and Tobago,2016,2021,Blacks,2000,5202000,,0.342,SENIOR PARTNER,False,2,3,3
79,52,Trinidad and Tobago,2016,2021,UNCATEGORIZED,0,5200000,,0.30400000000000005,POWERLESS,,2,3,1
80,53,Barbados,1966,2021,Barbadians,1000,5301000,,1.0,IRRELEVANT,,1,1,1
81,70,Mexico,1946,1974,Mestizos,1000,7001000,,0.801,DOMINANT,,4,4,4
82,70,Mexico,1946,1974,Other indigenous groups,3000,7003000,,0.142,DISCRIMINATED,False,4,4,0
83,70,Mexico,1946,1974,Afromexicans,9000,7009000,,0.05,DISCRIMINATED,False,4,4,0
84,70,Mexico,1946,1974,Maya,2000,7002000,,0.007,DISCRIMINATED,False,4,4,0
85,70,Mexico,1975,1997,Mestizos,1000,7001000,,0.801,DOMINANT,,4,4,4
86,70,Mexico,1975,1997,Other indigenous groups,3000,7003000,,0.142,POWERLESS,False,4,4,1
87,70,Mexico,1975,1997,Afromexicans,9000,7009000,,0.05,IRRELEVANT,,4,4,1
88,70,Mexico,1975,1997,Maya,2000,7002000,,0.007,POWERLESS,False,4,4,1
89,70,Mexico,1998,2016,Mestizos,1000,7001000,,0.801,DOMINANT,,4,4,4
90,70,Mexico,1998,2016,Other indigenous groups,3000,7003000,,0.142,POWERLESS,False,4,4,1
91,70,Mexico,1998,2016,Afromexicans,9000,7009000,,0.05,POWERLESS,False,4,4,1
92,70,Mexico,1998,2016,Maya,2000,7002000,,0.007,SELF-EXCLUSION,True,4,4,-1
93,70,Mexico,2017,2021,Mestizos,1000,7001000,,0.801,DOMINANT,,4,4,4
94,70,Mexico,2017,2021,Other indigenous groups,3000,7003000,,0.142,POWERLESS,False,4,4,1
95,70,Mexico,2017,2021,Afromexicans,9000,7009000,,0.05,POWERLESS,False,4,4,1
96,70,Mexico,2017,2021,Maya,2000,7002000,,0.007,POWERLESS,True,4,4,1
97,80,Belize,1981,1984,Mestizos,1000,8001000,,0.4357,JUNIOR PARTNER,False,4,5,2
98,80,Belize,1981,1984,Creoles,2000,8002000,,0.298,SENIOR PARTNER,False,4,5,3
99,80,Belize,1981,1984,Maya,3000,8003000,,0.1105,POWERLESS,False,4,5,1
100,80,Belize,1981,1984,Garifuna,4000,8004000,,0.0664,POWERLESS,False,4,5,1
101,80,Belize,1981,1984,UNCATEGORIZED,0,8000000,,0.08939999999999992,POWERLESS,,4,5,1
102,80,Belize,1985,1989,Mestizos,1000,8001000,,0.4357,SENIOR PARTNER,False,4,5,3
103,80,Belize,1985,1989,Creoles,2000,8002000,,0.298,JUNIOR PARTNER,False,4,5,2
104,80,Belize,1985,1989,Maya,3000,8003000,,0.1105,POWERLESS,False,4,5,1
105,80,Belize,1985,1989,Garifuna,4000,8004000,,0.0664,POWERLESS,False,4,5,1
106,80,Belize,1985,1989,UNCATEGORIZED,0,8000000,,0.08939999999999992,POWERLESS,,4,5,1
107,80,Belize,1990,1993,Mestizos,1000,8001000,,0.4357,JUNIOR PARTNER,False,4,5,2
108,80,Belize,1990,1993,Creoles,2000,8002000,,0.298,SENIOR PARTNER,False,4,5,3
109,80,Belize,1990,1993,Maya,3000,8003000,,0.1105,POWERLESS,False,4,5,1
110,80,Belize,1990,1993,Garifuna,4000,8004000,,0.0664,POWERLESS,False,4,5,1
111,80,Belize,1990,1993,UNCATEGORIZED,0,8000000,,0.08939999999999992,POWERLESS,,4,5,1
112,80,Belize,1994,1998,Mestizos,1000,8001000,,0.4357,SENIOR PARTNER,False,4,5,3
113,80,Belize,1994,1998,Creoles,2000,8002000,,0.298,JUNIOR PARTNER,False,4,5,2
114,80,Belize,1994,1998,Maya,3000,8003000,,0.1105,POWERLESS,False,4,5,1
115,80,Belize,1994,1998,Garifuna,4000,8004000,,0.0664,POWERLESS,False,4,5,1
116,80,Belize,1994,1998,UNCATEGORIZED,0,8000000,,0.08939999999999992,POWERLESS,,4,5,1
117,80,Belize,1999,1999,Mestizos,1000,8001000,,0.4357,JUNIOR PARTNER,False,4,5,2
118,80,Belize,1999,1999,Creoles,2000,8002000,,0.298,SENIOR PARTNER,False,4,5,3
119,80,Belize,1999,1999,Maya,3000,8003000,,0.1105,POWERLESS,False,4,5,1
120,80,Belize,1999,1999,Garifuna,4000,8004000,,0.0664,POWERLESS,False,4,5,1
121,80,Belize,1999,1999,UNCATEGORIZED,0,8000000,,0.08939999999999992,POWERLESS,,4,5,1
122,80,Belize,2000,2009,Mestizos,1000,8001000,,0.487,JUNIOR PARTNER,False,4,5,2
123,80,Belize,2000,2009,Creoles,2000,8002000,,0.2493,SENIOR PARTNER,False,4,5,3
124,80,Belize,2000,2009,Maya,3000,8003000,,0.1056,POWERLESS,False,4,5,1
125,80,Belize,2000,2009,Garifuna,4000,8004000,,0.0606,POWERLESS,False,4,5,1
126,80,Belize,2000,2009,UNCATEGORIZED,0,8000000,,0.09750000000000003,POWERLESS,,4,5,1
127,80,Belize,2010,2020,Mestizos,1000,8001000,,0.529,JUNIOR PARTNER,False,4,5,2
128,80,Belize,2010,2020,Creoles,2000,8002000,,0.259,SENIOR PARTNER,False,4,5,3
129,80,Belize,2010,2020,Maya,3000,8003000,,0.113,POWERLESS,False,4,5,1
130,80,Belize,2010,2020,Garifuna,4000,8004000,,0.061,POWERLESS,False,4,5,1
131,80,Belize,2010,2020,UNCATEGORIZED,0,8000000,,0.038000000000000034,POWERLESS,,4,5,1
132,80,Belize,2021,2021,Mestizos,1000,8001000,,0.529,SENIOR PARTNER,False,4,5,3
133,80,Belize,2021,2021,Creoles,2000,8002000,,0.259,JUNIOR PARTNER,False,4,5,2
134,80,Belize,2021,2021,Maya,3000,8003000,,0.113,POWERLESS,False,4,5,1
135,80,Belize,2021,2021,Garifuna,4000,8004000,,0.061,POWERLESS,False,4,5,1
136,80,Belize,2021,2021,UNCATEGORIZED,0,8000000,,0.038000000000000034,POWERLESS,,4,5,1
137,90,Guatemala,1946,1954,Maya,2000,9002000,,0.515,POWERLESS,False,2,2,1
138,90,Guatemala,1946,1954,Ladinos,1000,9001000,,0.48,MONOPOLY,,2,2,5
139,90,Guatemala,1955,1995,Maya,2000,9002000,,0.515,DISCRIMINATED,False,2,2,0
140,90,Guatemala,1955,1995,Ladinos,1000,9001000,,0.48,MONOPOLY,,2,2,5
141,90,Guatemala,1996,2021,Maya,2000,9002000,,0.515,POWERLESS,False,4,4,1
142,90,Guatemala,1996,2021,Ladinos,1000,9001000,,0.48,DOMINANT,,4,4,4
143,90,Guatemala,1996,2021,Xinca,4000,9004000,,0.003,POWERLESS,False,4,4,1
144,90,Guatemala,1996,2021,Garífuna,3000,9003000,,0.002,POWERLESS,False,4,4,1
145,91,Honduras,1946,1974,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,,2,3,5
146,91,Honduras,1946,1974,Garifuna,10000,9110000,,0.016,DISCRIMINATED,False,2,3,0
147,91,Honduras,1946,1974,UNCATEGORIZED,0,9100000,,0.07399999999999995,POWERLESS,,2,3,1
148,91,Honduras,1975,1989,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,,3,3,5
149,91,Honduras,1975,1989,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,0.07,POWERLESS,False,3,3,1
150,91,Honduras,1975,1989,Garifuna,10000,9110000,,0.016,DISCRIMINATED,False,3,3,0
151,91,Honduras,1990,2021,Whites/mestizos,6000,9106000,,0.91,MONOPOLY,,3,3,5
152,91,Honduras,1990,2021,"Indigenous peoples (Lenca, Maya-Chorti, Miskito, Tawahka/Sumu, Xicaque, Pech, Nahua)",7000,9107000,,0.073,POWERLESS,False,3,3,1
153,91,Honduras,1990,2021,Garifuna,10000,9110000,,0.014,POWERLESS,False,3,3,1
154,92,El Salvador,1946,1994,Whites/mestizos,1000,9201000,,0.9,MONOPOLY,,2,2,5
155,92,El Salvador,1946,1994,Indigenous peoples,2000,9202000,,0.1,DISCRIMINATED,False,2,2,0
156,92,El Salvador,1995,2021,Whites/mestizos,1000,9201000,,0.9,MONOPOLY,,2,2,5
157,92,El Salvador,1995,2021,Indigenous peoples,2000,9202000,,0.1,POWERLESS,False,2,2,1
158,93,Nicaragua,1946,1987,Whites/mestizos,1000,9301000,,0.86,MONOPOLY,,4,5,5
159,93,Nicaragua,1946,1987,Afronicaraguans,2000,9302000,,0.09,POWERLESS,False,4,5,1
160,93,Nicaragua,1946,1987,Miskitos,3000,9303000,,0.035,POWERLESS,False,4,5,1
161,93,Nicaragua,1946,1987,Sumus,5000,9305000,,0.002,POWERLESS,False,4,5,1
162,93,Nicaragua,1946,1987,UNCATEGORIZED,0,9300000,,0.013000000000000012,POWERLESS,,4,5,1
163,93,Nicaragua,1988,2021,Whites/mestizos,1000,9301000,,0.86,DOMINANT,,4,5,4
164,93,Nicaragua,1988,2021,Afronicaraguans,2000,9302000,,0.09,POWERLESS,False,4,5,1
165,93,Nicaragua,1988,2021,Miskitos,3000,9303000,,0.035,POWERLESS,False,4,5,1
166,93,Nicaragua,1988,2021,Sumus,5000,9305000,,0.002,POWERLESS,False,4,5,1
167,93,Nicaragua,1988,2021,UNCATEGORIZED,0,9300000,,0.013000000000000012,POWERLESS,,4,5,1
168,94,Costa Rica,1946,1953,Whites/mestizos,1000,9401000,,0.837,MONOPOLY,,3,4,5
169,94,Costa Rica,1946,1953,Afro-Costa Ricans,2000,9402000,,0.078,DISCRIMINATED,False,3,4,0
170,94,Costa Rica,1946,1953,Indigenous peoples,3000,9403000,,0.024,DISCRIMINATED,False,3,4,0
171,94,Costa Rica,1946,1953,UNCATEGORIZED,0,9400000,,0.061000000000000054,POWERLESS,,3,4,1
172,94,Costa Rica,1954,1991,Whites/mestizos,1000,9401000,,0.837,DOMINANT,,3,4,4
173,94,Costa Rica,1954,1991,Afro-Costa Ricans,2000,9402000,,0.078,POWERLESS,False,3,4,1
174,94,Costa Rica,1954,1991,Indigenous peoples,3000,9403000,,0.024,DISCRIMINATED,False,3,4,0
175,94,Costa Rica,1954,1991,UNCATEGORIZED,0,9400000,,0.061000000000000054,POWERLESS,,3,4,1
176,94,Costa Rica,1992,2018,Whites/mestizos,1000,9401000,,0.837,DOMINANT,,3,4,4
177,94,Costa Rica,1992,2018,Afro-Costa Ricans,2000,9402000,,0.078,POWERLESS,False,3,4,1
178,94,Costa Rica,1992,2018,Indigenous peoples,3000,9403000,,0.024,POWERLESS,False,3,4,1
179,94,Costa Rica,1992,2018,UNCATEGORIZED,0,9400000,,0.061000000000000054,POWERLESS,,3,4,1
180,94,Costa Rica,2019,2021,Whites/mestizos,1000,9401000,,0.837,SENIOR PARTNER,False,3,4,3
181,94,Costa Rica,2019,2021,Afro-Costa Ricans,2000,9402000,,0.078,JUNIOR PARTNER,False,3,4,2
182,94,Costa Rica,2019,2021,Indigenous peoples,3000,9403000,,0.024,POWERLESS,False,3,4,1
183,94,Costa Rica,2019,2021,UNCATEGORIZED,0,9400000,,0.061000000000000054,POWERLESS,,3,4,1
184,95,Panama,1946,1959,Whites/mestizos,1000,9501000,,0.837,MONOPOLY,,3,3,5
185,95,Panama,1946,1959,Afropanamanians,2000,9502000,,0.146,POWERLESS,False,3,3,1
186,95,Panama,1946,1959,Kuna,4000,9504000,,0.015,POWERLESS,True,3,3,1
187,95,Panama,1960,1983,Whites/mestizos,1000,9501000,,0.8,MONOPOLY,,5,5,5
188,95,Panama,1960,1983,Afropanamanians,2000,9502000,,0.14,POWERLESS,False,5,5,1
189,95,Panama,1960,1983,Ngäbe-Buglé,3000,9503000,,0.04,POWERLESS,False,5,5,1
190,95,Panama,1960,1983,Kuna,4000,9504000,,0.015,POWERLESS,True,5,5,1
191,95,Panama,1960,1983,Choco (Embera-Wounan),5000,9505000,,0.003,POWERLESS,False,5,5,1
192,95,Panama,1984,1997,Whites/mestizos,1000,9501000,,0.8,MONOPOLY,,5,5,5
193,95,Panama,1984,1997,Afropanamanians,2000,9502000,,0.14,POWERLESS,False,5,5,1
194,95,Panama,1984,1997,Ngäbe-Buglé,3000,9503000,,0.04,POWERLESS,False,5,5,1
195,95,Panama,1984,1997,Kuna,4000,9504000,,0.015,POWERLESS,True,5,5,1
196,95,Panama,1984,1997,Choco (Embera-Wounan),5000,9505000,,0.003,POWERLESS,True,5,5,1
197,95,Panama,1998,2021,Whites/mestizos,1000,9501000,,0.71,DOMINANT,,5,5,4
198,95,Panama,1998,2021,Afropanamanians,2000,9502000,,0.16,POWERLESS,False,5,5,1
199,95,Panama,1998,2021,Ngäbe-Buglé,3000,9503000,,0.09,POWERLESS,True,5,5,1
200,95,Panama,1998,2021,Kuna,4000,9504000,,0.025,POWERLESS,True,5,5,1
201,95,Panama,1998,2021,Choco (Embera-Wounan),5000,9505000,,0.01,POWERLESS,True,5,5,1
202,100,Colombia,1946,1979,Whites/mestizos,1000,10001000,,0.955,MONOPOLY,,2,2,5
203,100,Colombia,1946,1979,Indigenous peoples,2000,10002000,,0.044,DISCRIMINATED,False,2,2,0
204,100,Colombia,1980,1991,Whites/mestizos,1000,10001000,,0.73,MONOPOLY,,3,3,5
205,100,Colombia,1980,1991,Afro-Colombian,3000,10003000,,0.23,POWERLESS,False,3,3,1
206,100,Colombia,1980,1991,Indigenous peoples,2000,10002000,,0.034,DISCRIMINATED,False,3,3,0
207,100,Colombia,1992,2021,Whites/mestizos,1000,10001000,,0.71,DOMINANT,,3,3,4
208,100,Colombia,1992,2021,Afro-Colombian,3000,10003000,,0.25,POWERLESS,False,3,3,1
209,100,Colombia,1992,2021,Indigenous peoples,2000,10002000,,0.04,POWERLESS,True,3,3,1
210,101,Venezuela,1946,1972,Whites/mestizos,1000,10101000,,0.848,IRRELEVANT,,1,2,1
211,101,Venezuela,1946,1972,UNCATEGORIZED,0,10100000,,0.15200000000000002,POWERLESS,,1,2,1
212,101,Venezuela,1973,1999,Whites/mestizos,1000,10101000,,0.848,MONOPOLY,,2,3,5
213,101,Venezuela,1973,1999,Indigenous peoples,3000,10103000,,0.027,POWERLESS,False,2,3,1
214,101,Venezuela,1973,1999,UNCATEGORIZED,0,10100000,,0.125,POWERLESS,,2,3,1
215,101,Venezuela,2000,2017,Whites/mestizos,1000,10101000,,0.848,DOMINANT,,3,3,4
216,101,Venezuela,2000,2017,Afrovenezuelans,2000,10102000,,0.125,POWERLESS,False,3,3,1
217,101,Venezuela,2000,2017,Indigenous peoples,3000,10103000,,0.027,POWERLESS,True,3,3,1
218,101,Venezuela,2018,2021,Whites/mestizos,1000,10101000,,0.848,DOMINANT,,3,3,4
219,101,Venezuela,2018,2021,Afrovenezuelans,2000,10102000,,0.125,POWERLESS,False,3,3,1
220,101,Venezuela,2018,2021,Indigenous peoples,3000,10103000,,0.027,POWERLESS,False,3,3,1
221,110,Guyana,1966,1991,Indo-Guyanese,1000,11001000,,0.435,POWERLESS,False,3,4,1
222,110,Guyana,1966,1991,Afro-Guyanese,2000,11002000,,0.302,DOMINANT,,3,4,4
223,110,Guyana,1966,1991,Indigenous peoples,3000,11003000,,0.092,POWERLESS,False,3,4,1
224,110,Guyana,1966,1991,UNCATEGORIZED,0,11000000,,0.17100000000000004,POWERLESS,,3,4,1
225,110,Guyana,1992,2015,Indo-Guyanese,1000,11001000,,0.435,DOMINANT,,3,4,4
226,110,Guyana,1992,2015,Afro-Guyanese,2000,11002000,,0.302,POWERLESS,False,3,4,1
227,110,Guyana,1992,2015,Indigenous peoples,3000,11003000,,0.092,POWERLESS,False,3,4,1
228,110,Guyana,1992,2015,UNCATEGORIZED,0,11000000,,0.17100000000000004,POWERLESS,,3,4,1
229,110,Guyana,2016,2020,Indo-Guyanese,1000,11001000,,0.398,JUNIOR PARTNER,False,3,4,2
230,110,Guyana,2016,2020,Afro-Guyanese,2000,11002000,,0.292,SENIOR PARTNER,False,3,4,3
231,110,Guyana,2016,2020,Indigenous peoples,3000,11003000,,0.105,POWERLESS,False,3,4,1
232,110,Guyana,2016,2020,UNCATEGORIZED,0,11000000,,0.20500000000000007,POWERLESS,,3,4,1
233,110,Guyana,2021,2021,Indo-Guyanese,1000,11001000,,0.398,SENIOR PARTNER,False,3,4,3
234,110,Guyana,2021,2021,Afro-Guyanese,2000,11002000,,0.292,JUNIOR PARTNER,False,3,4,2
235,110,Guyana,2021,2021,Indigenous peoples,3000,11003000,,0.105,POWERLESS,False,3,4,1
236,110,Guyana,2021,2021,UNCATEGORIZED,0,11000000,,0.20500000000000007,POWERLESS,,3,4,1
237,115,Surinam,1975,1986,East Indians,3000,11503000,,0.376,JUNIOR PARTNER,False,6,7,2
238,115,Surinam,1975,1986,Creoles,1000,11501000,,0.314,SENIOR PARTNER,False,6,7,3
239,115,Surinam,1975,1986,Javanese,5000,11505000,,0.152,JUNIOR PARTNER,False,6,7,2
240,115,Surinam,1975,1986,Maroons,6000,11506000,,0.094,POWERLESS,False,6,7,1
241,115,Surinam,1975,1986,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.02,POWERLESS,False,6,7,1
242,115,Surinam,1975,1986,Chinese,2000,11502000,,0.015,POWERLESS,False,6,7,1
243,115,Surinam,1975,1986,UNCATEGORIZED,0,11500000,,0.029000000000000026,POWERLESS,,6,7,1
244,115,Surinam,1987,1992,East Indians,3000,11503000,,0.376,JUNIOR PARTNER,False,6,7,2
245,115,Surinam,1987,1992,Creoles,1000,11501000,,0.314,SENIOR PARTNER,False,6,7,3
246,115,Surinam,1987,1992,Javanese,5000,11505000,,0.152,JUNIOR PARTNER,False,6,7,2
247,115,Surinam,1987,1992,Maroons,6000,11506000,,0.094,DISCRIMINATED,False,6,7,0
248,115,Surinam,1987,1992,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.02,POWERLESS,False,6,7,1
249,115,Surinam,1987,1992,Chinese,2000,11502000,,0.015,POWERLESS,False,6,7,1
250,115,Surinam,1987,1992,UNCATEGORIZED,0,11500000,,0.029000000000000026,POWERLESS,,6,7,1
251,115,Surinam,1993,2003,East Indians,3000,11503000,,0.376,JUNIOR PARTNER,False,6,7,2
252,115,Surinam,1993,2003,Creoles,1000,11501000,,0.314,SENIOR PARTNER,False,6,7,3
253,115,Surinam,1993,2003,Javanese,5000,11505000,,0.152,JUNIOR PARTNER,False,6,7,2
254,115,Surinam,1993,2003,Maroons,6000,11506000,,0.094,POWERLESS,False,6,7,1
255,115,Surinam,1993,2003,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.02,POWERLESS,False,6,7,1
256,115,Surinam,1993,2003,Chinese,2000,11502000,,0.015,POWERLESS,False,6,7,1
257,115,Surinam,1993,2003,UNCATEGORIZED,0,11500000,,0.029000000000000026,POWERLESS,,6,7,1
258,115,Surinam,2004,2011,Creoles,1000,11501000,,0.302,SENIOR PARTNER,False,6,7,3
259,115,Surinam,2004,2011,East Indians,3000,11503000,,0.274,JUNIOR PARTNER,False,6,7,2
260,115,Surinam,2004,2011,Maroons,6000,11506000,,0.147,POWERLESS,False,6,7,1
261,115,Surinam,2004,2011,Javanese,5000,11505000,,0.146,JUNIOR PARTNER,False,6,7,2
262,115,Surinam,2004,2011,Indigenous Peoples (Arawaks and Caribs),4000,11504000,,0.02,POWERLESS,False,6,7,1
263,115,Surinam,2004,2011,Chinese,2000,11502000,,0.015,POWERLESS,False,6,7,1
264,115,Surinam,2004,2011,UNCATEGORIZED,0,11500000,,0.09599999999999986,POWERLESS,,6,7,1
